transaction_id,merchant_id,merchant_category,customer_id,amount,attempt_count,days_since_last_success,customer_tenure_months,debit_hour,status,failure_reason,created_at
TXN0033,M001,insurance,C0033,2035.41,3,6,4,22,pending,account_issue,2026-01-05 11:00:00
TXN0034,M001,insurance,C0034,2321.81,0,10,27,12,successful,none,2026-01-05 14:00:00
TXN0035,M002,school_fees,C0035,2263.91,3,24,1,10,successful,none,2026-01-05 17:00:00
TXN0036,M003,rentals,C0036,770.3,3,42,46,22,successful,none,2026-01-05 20:00:00
TXN0037,M002,school_fees,C0037,606.84,2,37,48,6,successful,none,2026-01-05 23:00:00
TXN0038,M003,rentals,C0038,201.34,0,32,34,20,failed,account_issue,2026-01-06 02:00:00
TXN0039,M001,insurance,C0039,245.82,1,43,16,7,successful,none,2026-01-06 05:00:00
TXN0040,M005,subscriptions,C0040,1480.98,1,39,6,6,failed,account_issue,2026-01-06 08:00:00
TXN0041,M005,subscriptions,C0041,845.62,4,13,43,13,successful,none,2026-01-06 11:00:00
TXN0042,M002,school_fees,C0042,1037.8,2,29,21,14,pending,insufficient_funds,2026-01-06 14:00:00
TXN0043,M001,insurance,C0043,1583.21,3,4,35,8,failed,bank_decline,2026-01-06 17:00:00
TXN0044,M002,school_fees,C0044,2211.69,2,23,19,12,failed,account_issue,2026-01-06 20:00:00
TXN0045,M003,rentals,C0045,2460.93,4,0,43,21,successful,none,2026-01-06 23:00:00
TXN0046,M003,rentals,C0046,2352.21,0,16,8,9,failed,account_issue,2026-01-07 02:00:00
TXN0047,M005,subscriptions,C0047,739.08,1,45,22,11,successful,none,2026-01-07 05:00:00
TXN0048,M003,rentals,C0048,1262.25,4,5,41,6,failed,bank_decline,2026-01-07 08:00:00
TXN0049,M001,insurance,C0049,887.21,0,40,17,9,successful,none,2026-01-07 11:00:00
TXN0050,M004,medical,C0050,1787.72,4,0,8,22,failed,account_issue,2026-01-07 14:00:00
TXN0051,M002,school_fees,C0051,167.19,4,37,36,16,failed,insufficient_funds,2026-01-07 17:00:00
TXN0052,M001,insurance,C0052,962.46,2,57,23,6,failed,insufficient_funds,2026-01-07 20:00:00
TXN0053,M001,insurance,C0053,1967.88,2,39,48,18,failed,insufficient_funds,2026-01-07 23:00:00
TXN0054,M002,school_fees,C0054,2213.03,1,11,48,5,pending,bank_decline,2026-01-08 02:00:00
TXN0055,M002,school_fees,C0055,465.26,2,24,3,8,pending,insufficient_funds,2026-01-08 05:00:00
TXN0056,M002,school_fees,C0056,926.17,3,14,2,12,successful,none,2026-01-08 08:00:00
TXN0057,M004,medical,C0057,754.22,2,49,18,7,failed,account_issue,2026-01-08 11:00:00
TXN0058,M004,medical,C0058,881.38,4,7,17,5,failed,bank_decline,2026-01-08 14:00:00
TXN0059,M001,insurance,C0059,1523.7,0,46,21,16,failed,account_issue,2026-01-08 17:00:00
TXN0060,M001,insurance,C0060,2256.8,3,16,3,11,successful,none,2026-01-08 20:00:00
TXN0061,M001,insurance,C0061,2319.89,4,43,47,22,successful,none,2026-01-08 23:00:00
TXN0062,M002,school_fees,C0062,1123.74,2,39,21,15,successful,none,2026-01-09 02:00:00
TXN0063,M001,insurance,C0063,1307.24,2,20,26,18,successful,none,2026-01-09 05:00:00
TXN0064,M005,subscriptions,C0064,544.25,1,43,48,17,pending,account_issue,2026-01-09 08:00:00
TXN0065,M005,subscriptions,C0065,1062.7,2,19,19,5,failed,account_issue,2026-01-09 11:00:00
TXN0066,M005,subscriptions,C0066,1205.27,2,43,14,19,successful,none,2026-01-09 14:00:00
TXN0067,M002,school_fees,C0067,766.76,0,5,16,15,successful,none,2026-01-09 17:00:00
TXN0068,M002,school_fees,C0068,436.6,1,15,31,6,successful,none,2026-01-09 20:00:00
TXN0069,M001,insurance,C0069,1082.95,3,45,45,11,failed,bank_decline,2026-01-09 23:00:00
TXN0070,M002,school_fees,C0070,1667.66,1,57,7,5,successful,none,2026-01-10 02:00:00
TXN0071,M002,school_fees,C0071,2025.95,1,29,4,21,failed,insufficient_funds,2026-01-10 05:00:00
TXN0072,M004,medical,C0072,2019.43,1,35,39,21,failed,bank_decline,2026-01-10 08:00:00
TXN0073,M005,subscriptions,C0073,1112.71,4,28,11,22,successful,none,2026-01-10 11:00:00
TXN0074,M004,medical,C0074,707.24,3,53,41,12,failed,account_issue,2026-01-10 14:00:00
TXN0075,M004,medical,C0075,744.53,1,45,19,7,successful,none,2026-01-10 17:00:00
TXN0076,M003,rentals,C0076,2241.12,2,8,10,7,failed,account_issue,2026-01-10 20:00:00
TXN0077,M002,school_fees,C0077,235.43,1,21,35,18,successful,none,2026-01-10 23:00:00
TXN0078,M001,insurance,C0078,2095.6,1,57,38,17,pending,insufficient_funds,2026-01-11 02:00:00
TXN0079,M005,subscriptions,C0079,1234.29,3,19,25,16,failed,bank_decline,2026-01-11 05:00:00
TXN0080,M005,subscriptions,C0080,2015.68,4,31,15,12,failed,bank_decline,2026-01-11 08:00:00
TXN0081,M001,insurance,C0081,893.43,3,46,11,17,successful,none,2026-01-11 11:00:00
TXN0082,M002,school_fees,C0082,1372.58,4,37,37,17,successful,none,2026-01-11 14:00:00
TXN0083,M001,insurance,C0083,408.39,3,11,4,19,failed,bank_decline,2026-01-11 17:00:00
TXN0084,M002,school_fees,C0084,870.97,3,17,27,17,successful,none,2026-01-11 20:00:00
TXN0085,M001,insurance,C0085,126.91,3,3,23,22,failed,insufficient_funds,2026-01-11 23:00:00
TXN0086,M001,insurance,C0086,2378.06,0,53,2,11,successful,none,2026-01-12 02:00:00
TXN0087,M002,school_fees,C0087,1226.02,1,36,14,8,successful,none,2026-01-12 05:00:00
TXN0088,M003,rentals,C0088,486.05,2,49,11,8,pending,insufficient_funds,2026-01-12 08:00:00
TXN0089,M005,subscriptions,C0089,2327.91,0,25,46,17,failed,account_issue,2026-01-12 11:00:00
TXN0090,M002,school_fees,C0090,1767.21,0,54,44,14,successful,none,2026-01-12 14:00:00
TXN0091,M001,insurance,C0091,1973.98,4,34,28,16,successful,none,2026-01-12 17:00:00
TXN0092,M001,insurance,C0092,1647.05,4,54,27,5,pending,insufficient_funds,2026-01-12 20:00:00
TXN0093,M004,medical,C0093,1618.12,2,45,10,19,failed,account_issue,2026-01-12 23:00:00
TXN0094,M005,subscriptions,C0094,1570.51,2,49,31,22,failed,account_issue,2026-01-13 02:00:00
TXN0095,M005,subscriptions,C0095,859.98,2,53,6,12,failed,bank_decline,2026-01-13 05:00:00
TXN0096,M002,school_fees,C0096,1459.04,3,21,2,17,successful,none,2026-01-13 08:00:00
TXN0097,M003,rentals,C0097,1259.87,1,51,17,16,successful,none,2026-01-13 11:00:00
TXN0098,M005,subscriptions,C0098,1425.01,2,60,13,21,failed,account_issue,2026-01-13 14:00:00
TXN0099,M004,medical,C0099,1423.53,3,44,31,12,successful,none,2026-01-13 17:00:00
TXN0100,M004,medical,C0100,1998.9,3,18,15,7,failed,insufficient_funds,2026-01-13 20:00:00
TXN0101,M003,rentals,C0101,973.03,4,33,23,22,failed,account_issue,2026-01-13 23:00:00
TXN0102,M005,subscriptions,C0102,931.38,2,17,20,19,failed,insufficient_funds,2026-01-14 02:00:00
TXN0103,M002,school_fees,C0103,369.32,2,60,45,22,failed,insufficient_funds,2026-01-14 05:00:00
TXN0104,M004,medical,C0104,1833.5,2,38,19,21,successful,none,2026-01-14 08:00:00
TXN0105,M002,school_fees,C0105,630.51,2,19,1,10,successful,none,2026-01-14 11:00:00
TXN0106,M002,school_fees,C0106,190.15,2,35,19,6,successful,none,2026-01-14 14:00:00
TXN0107,M002,school_fees,C0107,328.26,3,36,19,5,successful,none,2026-01-14 17:00:00
TXN0108,M004,medical,C0108,526.16,2,16,31,6,failed,insufficient_funds,2026-01-14 20:00:00
TXN0109,M004,medical,C0109,259.28,3,9,10,6,successful,none,2026-01-14 23:00:00
TXN0110,M003,rentals,C0110,2485.28,0,35,27,8,successful,none,2026-01-15 02:00:00
TXN0111,M005,subscriptions,C0111,1957.18,1,28,29,17,failed,account_issue,2026-01-15 05:00:00
TXN0112,M004,medical,C0112,1456.08,2,39,48,6,failed,insufficient_funds,2026-01-15 08:00:00
TXN0113,M002,school_fees,C0113,1678.24,2,15,12,10,successful,none,2026-01-15 11:00:00
TXN0114,M002,school_fees,C0114,1068.61,0,18,3,20,failed,account_issue,2026-01-15 14:00:00
TXN0115,M003,rentals,C0115,252.26,3,59,17,12,successful,none,2026-01-15 17:00:00
TXN0116,M005,subscriptions,C0116,1108.84,1,14,42,22,successful,none,2026-01-15 20:00:00
TXN0117,M003,rentals,C0117,252.81,1,50,20,10,successful,none,2026-01-15 23:00:00
TXN0118,M005,subscriptions,C0118,1142.75,2,44,20,19,successful,none,2026-01-16 02:00:00
TXN0119,M003,rentals,C0119,1386.76,4,5,39,19,failed,bank_decline,2026-01-16 05:00:00
TXN0120,M003,rentals,C0120,685.89,4,14,44,7,failed,account_issue,2026-01-16 08:00:00
TXN0121,M005,subscriptions,C0121,2498.97,0,36,3,13,successful,none,2026-01-16 11:00:00
TXN0122,M002,school_fees,C0122,1335.89,3,58,18,19,failed,account_issue,2026-01-16 14:00:00
TXN0123,M004,medical,C0123,2425.11,3,22,27,20,failed,account_issue,2026-01-16 17:00:00
TXN0124,M001,insurance,C0124,878.12,1,18,43,20,pending,account_issue,2026-01-16 20:00:00
TXN0125,M001,insurance,C0125,293.1,3,20,8,13,pending,bank_decline,2026-01-16 23:00:00
TXN0126,M005,subscriptions,C0126,1671.54,0,29,27,22,failed,account_issue,2026-01-17 02:00:00
TXN0127,M003,rentals,C0127,1910.59,4,48,4,19,failed,account_issue,2026-01-17 05:00:00
TXN0128,M002,school_fees,C0128,1140.24,2,7,2,20,pending,account_issue,2026-01-17 08:00:00
TXN0129,M002,school_fees,C0129,832.02,1,35,27,5,failed,insufficient_funds,2026-01-17 11:00:00
TXN0130,M004,medical,C0130,1647.46,0,31,46,9,failed,account_issue,2026-01-17 14:00:00
TXN0131,M003,rentals,C0131,2100.03,3,15,30,20,successful,none,2026-01-17 17:00:00
TXN0132,M004,medical,C0132,2310.92,1,47,9,21,pending,bank_decline,2026-01-17 20:00:00
TXN0133,M004,medical,C0133,2340.88,2,17,1,21,failed,bank_decline,2026-01-17 23:00:00
TXN0134,M005,subscriptions,C0134,2497.34,4,55,10,20,failed,bank_decline,2026-01-18 02:00:00
TXN0135,M003,rentals,C0135,1415.64,2,24,30,22,pending,insufficient_funds,2026-01-18 05:00:00
TXN0136,M002,school_fees,C0136,1006.79,4,2,21,18,successful,none,2026-01-18 08:00:00
TXN0137,M004,medical,C0137,2471.96,3,31,3,9,failed,account_issue,2026-01-18 11:00:00
TXN0138,M003,rentals,C0138,2195.54,0,6,34,19,pending,insufficient_funds,2026-01-18 14:00:00
TXN0139,M002,school_fees,C0139,2187.66,3,4,31,9,successful,none,2026-01-18 17:00:00
TXN0140,M003,rentals,C0140,1588.29,2,41,6,17,pending,account_issue,2026-01-18 20:00:00
TXN0141,M005,subscriptions,C0141,2389.02,3,55,35,20,failed,insufficient_funds,2026-01-18 23:00:00
TXN0142,M002,school_fees,C0142,2493.77,2,27,7,7,successful,none,2026-01-19 02:00:00
TXN0143,M001,insurance,C0143,482.6,3,57,2,14,failed,insufficient_funds,2026-01-19 05:00:00
TXN0144,M003,rentals,C0144,987.12,2,15,34,9,successful,none,2026-01-19 08:00:00
TXN0145,M002,school_fees,C0145,503.67,1,39,44,17,successful,none,2026-01-19 11:00:00
TXN0146,M005,subscriptions,C0146,641.9,1,29,17,13,successful,none,2026-01-19 14:00:00
TXN0147,M004,medical,C0147,1719.82,2,4,29,10,pending,account_issue,2026-01-19 17:00:00
TXN0148,M003,rentals,C0148,1750.56,3,54,20,19,failed,bank_decline,2026-01-19 20:00:00
TXN0149,M004,medical,C0149,654.04,0,36,19,16,pending,bank_decline,2026-01-19 23:00:00
TXN0150,M001,insurance,C0150,744.24,3,58,39,6,successful,none,2026-01-20 02:00:00
